Parite,Zaman Dilimi,Donus,Fiyat,Supertrend,Mesafe %,24s Hacim USDT,Mum Kapanisi
BABYUSDT,1h,YENI SAT,0.01467000,0.01614509416501566,-8.0835,27967599.99813000,2026-06-10T20:59:59.999Z
ENAUSDT,1d,YENI SAT,0.07120000,0.11470485485087423,-29.9942,26664245.98814400,2026-06-09T23:59:59.999Z
STGUSDT,5m,YENI AL,0.39700000,0.3717714603415105,7.3778,18688091.82587000,2026-06-10T21:39:59.999Z
SAHARAUSDT,1d,YENI SAT,0.01625000,0.0415618429085292,-55.3437,16672042.61895000,2026-06-09T23:59:59.999Z
CHZUSDT,1w,YENI SAT,0.02661000,0.05824278932977428,-56.7843,13826703.31127000,2026-06-07T23:59:59.999Z
SPKUSDT,15m,YENI SAT,0.01988100,0.02081622059973987,-4.6657,6711724.68464000,2026-06-10T21:29:59.999Z
SENTUSDT,1d,YENI AL,0.01458000,0.011424660384572523,40.3105,5277226.67111000,2026-06-09T23:59:59.999Z
JSTUSDT,15m,YENI SAT,0.07952000,0.08049710746686194,-1.4623,5072663.81547200,2026-06-10T21:29:59.999Z
EPICUSDT,1w,YENI AL,0.52300000,0.07666110553332511,820.9364,3931578.24570000,2026-06-07T23:59:59.999Z
FFUSDT,1d,YENI SAT,0.07639000,0.11513684671930806,-33.7484,3486582.30308600,2026-06-09T23:59:59.999Z
ALTUSDT,1h,YENI SAT,0.00591000,0.00643569080185971,-6.7699,3423542.16022000,2026-06-10T20:59:59.999Z
STRKUSDT,1h,YENI SAT,0.03350000,0.035633629299324156,-5.9877,1590981.49782600,2026-06-10T20:59:59.999Z
FIDAUSDT,4h,YENI SAT,0.02047000,0.026303403074161742,-21.1889,1560997.11288400,2026-06-10T19:59:59.999Z
KITEUSDT,4h,YENI SAT,0.17370000,0.18851980663019757,-9.5055,1400638.29861000,2026-06-10T19:59:59.999Z
USTCUSDT,5m,YENI AL,0.00587000,0.0057900588961697095,1.3807,716738.23359000,2026-06-10T21:39:59.999Z
HIGHUSDT,1w,YENI SAT,0.05600000,0.34314871030300265,-78.1436,710451.07693400,2026-06-07T23:59:59.999Z
IMXUSDT,1h,YENI SAT,0.13450000,0.14233286666469275,-5.1519,674092.64589700,2026-06-10T20:59:59.999Z
PSGUSDT,1h,YENI SAT,0.54000000,0.5695608704966153,-4.3122,652042.01863000,2026-06-10T20:59:59.999Z
